siteName,siteStatus,siteState,siteAddress,siteZip,daysofOperation,lunchTime,_geoloc/lat,_geoloc/lng
Boys and Girls Club,Open,WA,"400 Fir St, Sequim, WA 98382",98382,"M,T,W,TH",12-1pm,48.083268,-123.0948449
Amboy Middle School,Open,WA,"22115 Chelatchie Rd, Battle Ground, WA ",,"M,T,W,TH",11am – 12:00pm,45.7807959,-122.5477298
Battle Ground High School,Open,WA,"300 Main St, Battle Ground, WA ",,"M,T,W,TH",11am – 12:00pm,45.7807959,-122.5477298
Captain Strong Primary,Open,WA,"1002 6th Ave, Battle Ground, WA 98604",98604,"M,T,W,TH",11am – 12:00pm,45.7851996,-122.528684
Daybreak Primary,Open,WA,"1900 20th Ave, Battle Ground, WA ",,"M,T,W,TH",11am – 12:00pm,,
Glenwood Heights Primary,Open,WA,"9716 134th St, Battle Ground, WA 98604",98604,"M,T,W,TH",11am – 12:00pm,45.8054084,-122.534674
Maple Grove Primary,Open,WA,"610 B SW Eaton Blvd, Battle Ground, WA 98604",98604,"M,T,W,TH",11am – 12:00pm,45.7678161,-122.5437868
Pleasant Valley Primary,Open,WA,"14320 50th Ave, Battle Ground, WA ",,"M,T,W,TH",11am – 12:00pm,45.7402036,-122.6205505
Prairie High School,Open,WA,"11311 119th St, Battle Ground, WA 98604",98604,"M,T,W,TH",11am – 12:00pm,45.7588818,-122.5509876
Tukes Valley Primary,Open,WA,"20601 167th Ave, Battle Ground, WA ",,"M,T,W,TH",11am – 12:00pm,45.7726479,-122.5007928
Yacolt Primary,Open,WA,"406 Yacolt Rd, Battle Ground, WA 98675",98675,"M,T,W,TH",11am – 12:00pm,45.8667796,-122.4077176
Burton Elementary,Open,WA,"14015 28th St, Evergreen, WA 98682",98682,"M,T,W,TH",9:00am – 11:00am,45.6401615,-122.5327839
Cascade Middle School,Open,WA,"13900 18th St, Evergreen, WA 98684",98684,"M,T,W,TH",9:00am – 11:00am,45.6362994,-122.5260544
Covington Middle School,Open,WA,"11200 Rosewood Ave, Evergreen, WA 98662",98662,"M,T,W,TH",9:00am – 11:00am,45.668534,-122.5600766
Crestline Elementary,Open,WA,"13003 7th St, Evergreen, WA 98405",98405,"M,T,W,TH",9:00am – 11:00am,47.254791,-122.4638122
Ellsworth Elementary,Open,WA,"512 Ellsworth Rd, Evergreen, WA 98664",98664,"M,T,W,TH",9:00am – 11:00am,45.6173769,-122.5620711
Hearthwood Elementary,Open,WA,"801 Hearthwood Blvd, Evergreen, WA 98684",98684,"M,T,W,TH",9:00am – 11:00am,45.6269536,-122.5265244
Heritage High School,Open,WA,"7825 130th Ave, Evergreen, WA 98034",98034,"M,T,W,TH",9:00am – 11:00am,47.71611679999999,-122.1765109
Mill Plain Elementary,Open,WA,"400 164th Ave, Evergreen, WA 98683",98683,"M,T,W,TH",9:00am – 11:00am,45.6022976,-122.5049919
Silver Star Elementary,Open,WA,"10500 86th St, Evergreen, WA ",,"M,T,W,TH",9:00am – 11:00am,39.913564,-86.13924200000001
Burnt Bridge Creek Elementary,Open,WA,"14619 49th St, Evergreen, WA 98682",98682,"M,T,W,TH",9:00am – 10:00am,45.6573451,-122.5223931
HeLa High School,Open,WA,"1905 9th St, Evergreen, WA ",,"M,T,W,TH",9:00am – 10:00am,45.6283878,-122.5338398
Image Elementary,Open,WA,"4400 122nd Ave, Evergreen, WA 98033",98033,"M,T,W,TH",9:00am – 10:00am,47.6803198,-122.1775006
Marrion Elementary,Open,WA,"10119 14th St, Evergreen, WA 98502",98502,"M,T,W,TH",9:00am – 10:00am,47.05792899999999,-122.941792
Columbia Valley Elementary,Open,WA,"17500 Sequoia Cir, Evergreen, WA 98683",98683,"M,T,W,TH",9:00am – 10:00am,45.6125136,-122.4922374
Endeavour Elementary,Open,WA,"2701 Four Seasons Ln, Evergreen, WA 98684",98684,"M,T,W,TH",9:00am – 10:00am,45.6405606,-122.5533347
Fircrest Elementary,Open,WA,"12001 9th St, Evergreen, WA ",,"M,T,W,TH",9:00am – 10:00am,45.6283878,-122.5338398
Fisher’s Landing Elementary,Open,WA,"3800 Hiddenbrook Dr, Evergreen, WA 98683",98683,"M,T,W,TH",9:00am – 10:00am,45.5948748,-122.4885955
Harmony Elementary,Open,WA,"17404 18th St, Evergreen, WA 98684",98684,"M,T,W,TH",9:00am – 10:00am,45.6362994,-122.5260544
Illahee Elementary,Open,WA,"19401 1st St, Evergreen, WA 98134",98134,"M,T,W,TH",9:00am – 10:00am,47.58219649999999,-122.3344753
Mountain View High School,Open,WA,"1500 Blairmont Dr, Evergreen, WA 98683",98683,"M,T,W,TH",9:00am – 10:00am,45.61219639999999,-122.5182866
Orchards Elementary,Open,WA,"11405 69th St, Evergreen, WA 98662",98662,"M,T,W,TH",9:00am – 10:00am,45.67258289999999,-122.5566369
Pioneer Elementary,Open,WA,"7212 166th Ave, Evergreen, WA ",,"M,T,W,TH",9:00am – 10:00am,,
Riverview Elementary,Open,WA,"12601 Riverridge Dr, Evergreen, WA 98513",98513,"M,T,W,TH",9:00am – 10:00am,47.056149,-122.7519879
Sifton Elementary,Open,WA,"7301 137th Ave, Evergreen, WA 98682",98682,"M,T,W,TH",9:00am – 10:00am,45.6756395,-122.5307918
Sunset Elementary,Open,WA,"9001 95th St, Evergreen, WA 98662",98662,"M,T,W,TH",9:00am – 10:00am,45.6896684,-122.5821566
Wy’east Middle School,Open,WA,"1112 136th Ave, Evergreen, WA ",,"M,T,W,TH",9:00am – 10:00am,45.6572997,-122.5331976
York Elementary,Open,WA,"9301 152nd Ave, Evergreen, WA 98052",98052,"M,T,W,TH",9:00am – 10:00am,47.6294571,-122.1384525
Anderson Elementary,Open,WA,"2215 104th St, Vancouver, WA ",,"M,T,W,TH",10:00am – 12:00pm,,
Fruit Valley Elementary,Open,WA,"3410 Fruit Valley Rd, Vancouver, WA ",,"M,T,W,TH",10:00am – 12:00pm,45.6493332,-122.6999526
Ogden Elementary School,Open,WA,"3200 86th Ave, Vancouver, WA ",,"M,T,W,TH",10:00am – 12:00pm,,
Roosevelt Elementary,Open,WA,"2921 Falk Rd, Vancouver, WA 98661",98661,"M,T,W,TH",10:00am – 12:00pm,45.6421713,-122.6283316
Washington Elementary School,Open,WA,"2908 S St, Vancouver, WA ",,"M,T,W,TH",10:00am – 12:00pm,45.6257379,-122.6760886
Discovery Middle School,Open,WA,"800 40th St, Vancouver, WA 98660",98660,"M,T,W,TH",10:00am – 12:00pm,45.6507173,-122.673462
Jason Lee Middle School,Open,WA,"8500 9th Ave, Vancouver, WA ",,"M,T,W,TH",10:00am – 12:00pm,45.6283855,-122.5333461
Liberty Middle School,Open,WA,"1612 Garfield St, Camas, WA 98607",98607,"M,T,W,TH",9am – 11am,45.5957091,-122.4026634
Skyridge Middle School,Open,WA,"5220 Parker St, Camas, WA 98607",98607,"M,T,W,TH",9am – 11am,45.60810679999999,-122.4505586
Dorothy Fox Elementary School,Open,WA,"2623 Sierra St, Camas, WA 98607",98607,"M,T,W,TH",7:45 – 8:30am,45.6053168,-122.4269196
Prune Hill Elementary School,Open,WA,"1601 Tidland St, Camas, WA 98607",98607,"M,T,W,TH",7:45 – 8:30am,45.581431,-122.38434
Grass Valley Elementary School,Open,WA,"3000 Grass Valley Dr, Camas, WA 98607",98607,"M,T,W,TH",7:45 – 8:30am,45.6109344,-122.442542
Woodburn Elementary School,Open,WA,"2400 Woodburn Dr, Camas, WA 98607",98607,"M,T,W,TH",7:45 – 8:30am,45.6061926,-122.3888701
Union Ridge Elementary (Building B),Open,WA,"330 5th Ave, Ridgefield, WA 98642",98642,"M,T,W,TH",11:00am – 12:00pm,45.8199237,-122.7230118
South Ridge Elementary (Building B),Open,WA,"502 199th St, Ridgefield, WA ",,"M,T,W,TH",11:00am – 12:00pm,,
Hamllik Park,Open,WA,"4285 Addy St, Washougal, WA 98671",98671,"M,T,W,TH",10:00am – 12:00pm,45.5746028,-122.3298165
Hathaway Elementary School,Open,WA,"630 24th St, Washougal, WA ",,"M,T,W,TH",10:00am – 12:00pm,,
Cape Horn-Skye Elementary School,Open,WA,"9731 Washougal River Rd, Washougal, WA ",,"M,T,W,TH",10:00am – 12:00pm,45.5892799,-122.3698036
Castle Rock Elementary School,Open,WA,"700 Huntington Ave, Castle Rock, WA 98611",98611,"M,T,W,TH",10:00am – 12:00pm,46.2659286,-122.9022408
Camelot & Guinevere,Open,WA,Guinevere Ct & Camelot Dr,,"M,T,W,TH",10:00am – 10:10am,,
Dougherty & Ramsey,Open,WA,"1100 Dougherty Dr, Castle Rock, WA 98611",98611,"M,T,W,TH",10:20am – 10:30am,46.2805296,-122.8988624
“Chuck’s” Shell Station & Tower Rd,Open,WA,"undefined No undefined, Castle Rock, WA undefined",,"M,T,W,TH",10:35am – 10:50am,,
Old Pacific Hwy & Burma Rd,Open,WA,Burma Rd & Old Pacific Hwy,,"M,T,W,TH",11:10am – 11:20am,,
Happy Trials & Barnes Dr,Open,WA,Driftwood Ln & Barnes Dr,,"M,T,W,TH",11:25am – 11:30am,,
St. Helens Elementary – Main Office Entrance,Open,WA,"431 27th Ave, Longview, WA 98632",98632,"M,T,W,TH",12:00pm – 12:30pm,46.1328615,-122.9556236
Kessler Elementary – Main Office Entrance,Open,WA,"1902 Kessler Blvd, Longview, WA 98632",98632,"M,T,W,TH",12:00pm – 12:30pm,46.1311303,-122.9452217
Monticello Middle School – Main Office Entrance,Open,WA,"2715 Lilac St, Longview, WA 98632",98632,"M,T,W,TH",12:00pm – 12:30pm,46.1425785,-122.9585795
Northlake Elementary – Main Office Entrance,Open,WA,"2210 Olympia Way, Longview, WA 98632",98632,"M,T,W,TH",12:00pm – 12:30pm,46.1634989,-122.9903419
Columbia Heights Elementary – Main Office Entrance,Open,WA,"2820 Parkview Dr, Longview, WA 98632",98632,"M,T,W,TH",12:00pm – 12:30pm,46.1573563,-122.939662
Mint Valley Elementary – Main Office Entrance,Open,WA,"2745 38th Ave, Longview, WA 98632",98632,"M,T,W,TH",12:00pm – 12:30pm,46.1542474,-122.9845521
Bridgeport Elementary School,Open,WA,"1400 Tacoma Ave, Bridgeport, WA 98813",98813,"M,T,W,TH",7:30AM-9:00AM AND 11:30AM-12:30PM,48.00198,-119.6671065
Rock Island Elementary School (Front Door Entry),Open,WA,"5645 Rock Island Rd, Eastmont, WA ",,"M,T,W,TH",11:30AM-1:00PM,47.4534442,-120.2052751
Ulysses S. Grant Elementary (Commons Entry),Open,WA,"1430 1st St, Eastmont, WA 98012",98012,"M,T,W,TH",11:30AM-1:00PM,47.859476,-122.220583
Sterling Intermediate Middle School (Entry on James Street),Open,WA,"600 James Ave, Eastmont, WA 98208",98208,"M,T,W,TH",11:30AM-1:00PM,47.898997,-122.194622
Cascade Elementary (Entry to Gymnasium),Open,WA,"2330 Baker Ave, Eastmont, WA ",,"M,T,W,TH",11:30AM-1:00PM,47.4549866,-120.2910056
Mansfield School,Open,WA,"Both breakfast and lunch are available through the school, contact the school directly",,"M,T,W,TH,F",at 509-683-1012 for more information.,,
Orondo Elementary School,Open,WA,"100 Orondo School Rd, Orondo, WA 98843",98843,"M,T,W,TH",11:00AM-12:30PM,47.6406196,-120.2175351
Waterville School,Open,WA,"200 Birch St, Waterville, WA ",,"M,T,W,TH",9:00AM-10:00AM,,
Inchelium School,Open,WA,"2 Hornet Ave, Inchelium, WA 99138",99138,"M,T,W,TH",11:30AM-12:30PM,48.3019338,-118.1991118
Connell Elementary School,Open,WA,"1001 Clark St, North Franklin, WA 99326",99326,"M,T,W,TH",11:00AM-11:30AM,46.6632901,-118.8714268
Connell High School Cafeteria,Open,WA,"1100 Clark St, North Franklin, WA 99326",99326,"M,T,W,TH",11:00AM-11:30AM,46.6632901,-118.8714268
Mesa Elementary School,Open,WA,"200 Pepiot Rd, North Franklin, WA 99343",99343,"M,T,W,TH",11:00AM-11:30AM,46.5732376,-118.9976339
Basin City Elementary School,Open,WA,"303 Bailie Blvd, North Franklin, WA 99326",99326,"M,T,W,TH",11:00AM-11:30AM,46.6632901,-118.8714268
Angelou Elementary,Open,WA,"6001 N Rd, Pasco, WA 99301",99301,"M,T,W,TH",11:00AM-12:30PM,46.2305049,-119.0922316
Chess Elementary,Open,WA,"715 24th Ave, Pasco, WA 99301",99301,"M,T,W,TH",11:00AM-12:30PM,46.239671,-119.1226668
Curie Elementary,Open,WA,"715 California undefined, Pasco, WA 99301",99301,"M,T,W,TH",11:00AM-12:30PM,46.2401808,-119.0794605
Emerson Elementary,Open,WA,"1616 Octave undefined, Pasco, WA 99301",99301,"M,T,W,TH",11:00AM-12:30PM,46.2388497,-119.151481
Franklin Elementary,Open,WA,"6010 Road undefined, Pasco, WA 99301",99301,"M,T,W,TH",11:00AM-12:30PM,46.256579,-119.10994
Frost Elementary,Open,WA,"1915 22nd Ave, Pasco, WA ",,"M,T,W,TH",11:00AM-12:30PM,,
Livingston Elementary,Open,WA,"2515 Road undefined, Pasco, WA 99301",99301,"M,T,W,TH",11:00AM-12:30PM,46.256579,-119.10994
Longfellow Elementary,Open,WA,"301 10th Ave, Pasco, WA 99301",99301,"M,T,W,TH",11:00AM-12:30PM,46.2375639,-119.1025787
Markham Elementary,Open,WA,"4031 Elm Rd, Pasco, WA ",,"M,T,W,TH",11:00AM-12:30PM,,
McClintock Elementary,Open,WA,"5706 Road undefined, Pasco, WA 99301",99301,"M,T,W,TH",11:00AM-12:30PM,46.256579,-119.10994
McGee Elementary,Open,WA,"4601 Horizon Dr, Pasco, WA ",,"M,T,W,TH",11:00AM-12:30PM,,
Robinson Elementary,Open,WA,"125 Wehe St, Pasco, WA ",,"M,T,W,TH",11:00AM-12:30PM,,
Twain Elementary,Open,WA,"1801 N Rd, Pasco, WA 99301",99301,"M,T,W,TH",11:00AM-12:30PM,46.2305049,-119.0922316
Chiawana High School,Open,WA,"8125 Argent Rd, Pasco, WA ",,"M,T,W,TH",11:00AM-12:30PM,,
New Horizons High School,Open,WA,"2020 Argent Rd, Pasco, WA ",,"M,T,W,TH",11:00AM-12:30PM,,
Pasco High School,Open,WA,"1108 10th Ave, Pasco, WA 99301",99301,"M,T,W,TH",11:00AM-12:30PM,46.2375639,-119.1025787
Schlagel Park,Open,WA,"106 Washington St, Pasco, WA 99301",99301,"M,T,W,TH",11:00AM-12:30PM,46.2305049,-119.0922316
Pomeroy High School,Open,WA,"1090 Pataha St, Pomeroy, WA 99347",99347,"M,T,W,TH",10:00AM-11:00AM,46.47214779999999,-117.596098
Grant Elementary,Open,WA,"451 3rd Ave, Ephrata, WA 98823",98823,"M,T,W,TH",11:00AM-1:00PM,47.3126407,-119.5420886
Columbia Ridge Elementary,Open,WA,"60 H St, Ephrata, WA ",,"M,T,W,TH",11:00AM-1:00PM,,
Parkway School,Open,WA,"1011 Parkway Blvd, Ephrata, WA 98823",98823,"M,T,W,TH",11:00AM-1:00PM,47.3125735,-119.561005
Ephrata Middle School,Open,WA,"384 A St, Ephrata, WA 98823",98823,"M,T,W,TH",11:00AM-1:00PM,47.3176385,-119.5536491
Knolls Vista Elementary,Open,WA,"454 W Rdg, Moses Lake, WA 98837",98837,"M,T,W,TH",10:30AM-11:30AM,47.1301417,-119.2780771
Lakeview Elementary,Open,WA,"780 Clover Dr, Moses Lake, WA ",,"M,T,W,TH",10:30AM-11:30AM,,
Longview Elementary,Open,WA,"9783 Apple Rd, Moses Lake, WA 98837",98837,"M,T,W,TH",10:30AM-11:30AM,47.1330536,-119.2728996
Larson Heights Elementary,Open,WA,"700 Lindberg Ln, Moses Lake, WA 98837",98837,"M,T,W,TH",10:30AM-11:30AM,47.1217511,-119.2656744
Midway Elementary,Open,WA,"502 C St, Moses Lake, WA 98837",98837,"M,T,W,TH",10:30AM-11:30AM,47.13026,-119.2703549
North Elementary,Open,WA,"1200 Craig St, Moses Lake, WA 98837",98837,"M,T,W,TH",10:30AM-11:30AM,47.1757232,-119.3296611
Peninsula Elementary,Open,WA,"2406 Texas St, Moses Lake, WA 98837",98837,"M,T,W,TH",10:30AM-11:30AM,47.1045028,-119.3040912
Quincy Middle School,Open,WA,"16 6th Ave, Quincy, WA 98848",98848,"M,T,W,TH",10:30AM-12:30PM,47.240167,-119.8428409
Pioneer Elementary,Open,WA,"224 J St, Quincy, WA 98848",98848,"M,T,W,TH",10:30AM-12:30PM,47.2461607,-119.8498465
George Elementary,Open,WA,"401 Washington Way, Quincy, WA 98848",98848,"M,T,W,TH",10:30AM-12:30PM,47.2342997,-119.8525504
Mountain View Elementary,Open,WA,"119 D St, Quincy, WA 98848",98848,"M,T,W,TH",10:30AM-12:30PM,47.23431919999999,-119.8556261
New Life Church,Open,WA,"117 Camelia St, Royal, WA ",,"M,T,W,TH",11:00AM-12:30PM,,
Fire District No. 10 at Beverly,Open,WA,"Rd 17 SW & Tacoma St, Beverly",,"M,T,W,TH",11:00AM-12:30PM,,
B & G Farms (at Adams Rd S and Rd 11 SW Intersection),Open,WA,"12088 Rd 11 undefined, Royal, WA ",,"M,T,W,TH",11:00AM-12:30PM,46.9284049,-119.6852147
The Church of Jesus Christ of Latter-day Saints,Open,WA,"undefined Royal Cp, Royal, WA undefined",,"M,T,W,TH",11:00AM-12:30PM,,
Royal Towing (Parking lot),Open,WA,"14466 Road A7 undefined, Royal, WA 99357",99357,"M,T,W,TH",11:00AM-12:30PM,46.90097009999999,-119.6305912
Potholes General Store,Open,WA,"6897 WA undefined, Royal, WA 99357",99357,"M,T,W,TH",11:00AM-12:30PM,46.90097009999999,-119.6305912
Soap Lake Post Office,Open,WA,"511 Division St, Soap Lake, WA 98851",98851,"M,T,W,TH",10:30AM-10:45AM,47.3893567,-119.4904307
Akins Fresh Market,Open,WA,"115 Daisy St, Soap Lake, WA 98851",98851,"M,T,W,TH",10:50AM-11:05AM,47.3864957,-119.4831956
Soap Lake Elementary Parking Lot,Open,WA,"410 Ginkgo St, Soap Lake, WA 98851",98851,"M,T,W,TH",11:10AM-11:30AM,47.390835,-119.4983255
Jeske Park,Open,WA,"West 9th Street and Grant Avenue, Warden",,"M,T,W,TH",10:00AM-11:00AM,,
Volunteer Park,Open,WA,"East 4th Street and Maple Avenue, Warden",,"M,T,W,TH",10:00AM-11:00AM,,
Wilson Creek School,Open,WA,"400 Navar St, Wilson Creek, WA 98860",98860,"M,T,W",10:00AM-12:00PM,47.4255149,-119.1231863
Wes Peterson Park,Open,WA,"2715 Bay undefined, Aberdeen, WA ",,"M,T,W,TH",10:00AM-12:00PM,46.9728871,-123.8521473
North Aberdeen Park,Open,WA,"1500 BLF of N Young St, Aberdeen, WA 98537",98537,"M,T,W,TH",10:00AM-12:00PM,46.956473,-123.772251
Pioneer Park,Open,WA,"214 Tilden undefined, Aberdeen, WA ",,"M,T,W,TH",10:00AM-12:00PM,,
Finch Playfield,Open,WA,"608 Sumner undefined, Aberdeen, WA ",,"M,T,W,TH",10:00AM-12:00PM,46.9760356,-123.8479932
Central Park Elementary School (Drive through bus lane),Open,WA,"601 School Rd, Aberdeen, WA 98520",98520,"M,T,W,TH",10:00AM-12:00PM,46.970858,-123.7939088
Mill Creek Park,Open,WA,"5th Street and B Street, Cosmopolis",,"M,T,W,TH",10:45AM-11:00AM,,
Toy Room Child Care Bus Stop,Open,WA,"111 I St, Cosmopolis, WA ",,"M,T,W,TH",11:05AM-11:20AM,46.9553719,-123.7737763
Holly Ln & Altenau,Open,WA,"Holly Ln and Altenau St, Cosmopolis",,"M,T,W,TH",11:25AM-11:40AM,,
Franklin Hill Park,Open,WA,"Franklin Drive and Paisley Way, Cosmopolis",,"M,T,W,TH",11:45-12:00PM,,
Satsop Post Office,Open,WA,"102 5th St, Elma, WA 98541",98541,"M,T,W,TH",12:30PM-1:00PM,47.0026368,-123.406224
Malone Assembly of God,Open,WA,"23 Mox Chehalis Rd, Elma, WA ",,"M,T,W,TH",12:00PM-12:30PM,47.000469,-123.2886818
White Star,Open,WA,"undefined Mountain undefined, Peak, WA 98584",98584,"M,T,W,TH",11:30AM-12:00PM,,
10th Street Park,Open,WA,"10 th St, Elma, WA 98541",98541,"M,T,W,TH",11:00AM-11:30AM,47.0034291,-123.4087692
